Model,HO_Total,HO_Range,HO_LB,HO_Overload,HO_Failed,AvgQoSMean,AvgQoSStd,MinQoSMean,MinQoSStd,AvgQoS_Load,AvgQoS_Range,GiniMean,GiniStd,EvalSum,EvalProd
ARHC-Oracle,7362,3586,3721,55,0,1.0,0.0,1.0,0.0,1.0,1.0,0.13549319452007472,0.05763865037349868,3.943864683803195,0.943926467552103
ARHC-01s,7382,3540,3791,51,0,1.0,0.0,1.0,0.0,1.0,1.0,0.13534102329780023,0.05805455816944339,3.9424275264156057,0.9424275264156056
ARHC-02s,7369,3619,3701,49,0,1.0,0.0,1.0,0.0,1.0,1.0,0.13781167987010742,0.05755951412478148,3.9261623337788505,0.9271646736691923
ARHC-03s,7382,3702,3628,52,0,1.0,0.0,1.0,0.0,1.0,1.0,0.14044323297536,0.05707305439738043,3.9060981884370722,0.9081897582881799
ARHC-04s,7409,3777,3582,50,0,1.0,0.0,1.0,0.0,1.0,1.0,0.1431749494226141,0.05647445481594901,3.8842773567998874,0.8876153947773998
ARHC-05s,7429,3852,3528,49,0,1.0,0.0,1.0,0.0,1.0,1.0,0.14594340771532183,0.05633647115810096,3.863817973175162,0.8684336001662156
ARHC-10s,7744,4097,3564,83,0,1.0,0.0,1.0,0.0,1.0,1.0,0.15774622058220014,0.056042605359153695,3.7563397542511616,0.7707741695883618
ARHC-15s,7998,4249,3636,113,0,1.0,0.0,1.0,0.0,1.0,1.0,0.16675382558554583,0.0574337282700685,3.681464159982821,0.7059830160666241
ARHC-20s,8408,4417,3901,90,0,1.0,0.0,1.0,0.0,1.0,1.0,0.1777351619283364,0.06059051849100695,3.5889020532789466,0.6300650676668968
ARHC-25s,8676,4535,3969,172,0,1.0,0.0,1.0,0.0,1.0,1.0,0.18193294790488132,0.06190909636059049,3.545773284521427,0.5965138879037474
ARHC-30s,8243,4645,3487,111,0,1.0,0.0,1.0,0.0,1.0,1.0,0.1902108120875431,0.06232686924780903,3.5555205432984334,0.6005248170205493
EarliestHO,10487,10487,0,0,0,0.9975170803743069,0.01233446107773492,0.9956291978594713,0.021414057164847407,0.9975170803743069,1.0,0.2626729407923416,0.08530874539906295,3.1717844458594247,0.3394711095811594
LatestHO,6957,6957,0,0,0,0.9999807723331989,0.00038025827809806873,0.9999613169344655,0.0007623582488044859,0.9999807723331989,1.0,0.289431837315032,0.0819094619501671,3.4675514046536855,0.46758223613592065
NearestRSU,7942,7942,0,0,0,0.9999171043807755,0.0011431850992875113,0.9998408346336667,0.0021962861303735787,0.9999171043807755,1.0,0.2723274664784129,0.09129869135873052,3.3727127319247767,0.4352361880620107
