Model,HO_Total,HO_Range,HO_LB,HO_Overload,HO_Failed,AvgQoSMean,AvgQoSStd,MinQoSMean,MinQoSStd,AvgQoS_Load,AvgQoS_Range,GiniMean,GiniStd,EvalSum,EvalProd
ARHC-Oracle,9737,4326,5411,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.13435820280020358,0.04367409314517096,3.8349594330902743,0.8349594330902742
ARHC-01s,10223,4184,6039,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.1344160003371789,0.043696766128772414,3.794835587611727,0.7949236213675145
ARHC-02s,10506,4191,6315,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.13727661634378716,0.045046657337058156,3.7525841540768243,0.7573920970291411
ARHC-03s,10673,4205,6468,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.14012347594672198,0.04648384954519452,3.720590985261743,0.7303942072434066
ARHC-04s,11280,4218,7062,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.14324914971892527,0.04600039756311008,3.6586783653708883,0.6760107141087034
ARHC-05s,11878,4202,7676,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.1469330727905546,0.04852243526233311,3.5988763652873823,0.6258811179483066
ARHC-10s,14860,4078,10782,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.16371582008126034,0.05418224580221112,3.367785736734282,0.4489988971504104
ARHC-15s,18767,4041,14726,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.17891771165614934,0.056052878708688636,3.18415693052015,0.3253168381855943
ARHC-20s,24999,3967,21032,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.19689068811335045,0.06389156986069319,3.0076129944600174,0.22192535244168046
ARHC-25s,24749,4059,20690,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.20073817558750998,0.06407253798384246,2.997818754378843,0.21987057045790245
ARHC-30s,26481,3958,22523,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.20841579002572203,0.0655237336959891,2.9516767954740666,0.19792002235628078
EarliestHO,80037,80037,0,0,0,0.9994016574947288,0.005747788243747115,0.9985503695505638,0.01322233361309516,0.9994016574947288,1.0,0.36325824972136506,0.08082658563185939,2.4693997002835726,0.037493716038173724
LatestHO,8130,8130,0,0,0,0.9741184641701371,0.04702747771371314,0.9456297301850372,0.09607171574221823,0.9741184641701371,1.0,0.6207307211441901,0.054000165841035404,3.1361998669138353,0.1993856227829655
NearestRSU,13835,13835,0,0,0,0.9835591870351341,0.03712087613546827,0.96433093676057,0.07702555821112632,0.9835591870351341,1.0,0.5924300968654572,0.06145257875274622,2.7623218232784947,0.1264052329821997
