Model,HO_Total,HO_Range,HO_LB,HO_Overload,HO_Failed,AvgQoSMean,AvgQoSStd,MinQoSMean,MinQoSStd,AvgQoS_Load,AvgQoS_Range,GiniMean,GiniStd,EvalSum,EvalProd
ARHC-Oracle,8646,4406,4240,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.22740458888675913,0.059775751831370905,3.9403148989060117,0.9403151569570961
ARHC-01s,8712,4345,4367,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.22740360562207235,0.06165229330040553,3.933195592286501,0.9331955922865014
ARHC-02s,8772,4396,4376,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.22852418879690034,0.061039623559646164,3.92190902067002,0.9222678999017122
ARHC-03s,8779,4415,4364,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.22981403076113113,0.062240508164817646,3.91558499471616,0.9163603785746296
ARHC-04s,8778,4363,4415,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.22996843995759797,0.0632911583019559,3.9150261000556728,0.9158494235512021
ARHC-05s,8844,4396,4448,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.23258214868370364,0.0630656431338815,3.897001863368267,0.8987994121762928
ARHC-10s,9330,4388,4942,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.23973568651031787,0.06561637053545366,3.8199423147424447,0.826558433316529
ARHC-15s,10158,4360,5798,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.24927498268700823,0.06899522067567561,3.712614440251986,0.7301313372127333
ARHC-20s,11576,4367,7209,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.25611461007917585,0.0671015785497759,3.590212961253287,0.6235840816670364
ARHC-25s,11050,4408,6642,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.25962732834118396,0.0712659569051999,3.611631310287249,0.6444291984735812
ARHC-30s,11245,4433,6812,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.263564470410598,0.07383431344827784,3.585788679702791,0.6237945370709623
EarliestHO,80037,80037,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.36325824972136506,0.08082658563185939,2.7275888700128577,0.0635889427297076
LatestHO,8130,8130,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.6207307211441901,0.054000165841035404,3.3663482374497273,0.3663482374497275
NearestRSU,13835,13835,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.5924300968654572,0.06145257875274622,2.9714888836369573,0.22556494914235165
